Date,PG,^GSPC,^DJI
2007-01-03,64.540001,1416.599976,12474.51953
2007-01-04,64.050003,1418.339966,12480.69043
2007-01-05,63.5,1409.709961,12398.00977
2007-01-08,63.639999,1412.839966,12423.49023
2007-01-09,63.48,1412.109985,12416.59961
2007-01-10,64.239998,1414.849976,12442.16016
2007-01-11,64.639999,1423.819946,12514.98047
2007-01-12,65.0,1430.72998,12556.08008
2007-01-16,65.0,1431.900024,12582.58984
2007-01-17,65.360001,1430.619995,12577.15039
2007-01-18,65.540001,1426.369995,12567.92969
2007-01-19,66.089996,1430.5,12565.53027
2007-01-22,65.720001,1422.949951,12477.16016
2007-01-23,65.639999,1427.98999,12533.79981
2007-01-24,65.510002,1440.130005,12621.76953
2007-01-25,64.919998,1423.900024,12502.55957
2007-01-26,64.860001,1422.180054,12487.01953
2007-01-29,64.879997,1420.619995,12490.78027
2007-01-30,64.589996,1428.819946,12523.30957
2007-01-31,64.870003,1438.23999,12621.69043
2007-02-01,65.339996,1445.939941,12673.67969
2007-02-02,65.339996,1448.390015,12653.49023
2007-02-05,65.150002,1446.98999,12661.74023
2007-02-06,64.589996,1448.0,12666.30957
2007-02-07,64.480003,1450.02002,12666.87012
2007-02-08,64.589996,1448.310059,12637.62988
2007-02-09,64.43,1438.060059,12580.83008
2007-02-12,64.160004,1433.369995,12552.54981
2007-02-13,64.709999,1444.26001,12654.84961
2007-02-14,64.879997,1455.300049,12741.86035
2007-02-15,64.989998,1456.810059,12765.00977
2007-02-16,65.07,1455.540039,12767.57031
2007-02-20,64.879997,1459.680054,12786.63965
2007-02-21,64.690002,1457.630005,12738.41016
2007-02-22,64.709999,1456.380005,12686.01953
2007-02-23,64.82,1451.189941,12647.48047
2007-02-26,64.440002,1449.369995,12632.25977
2007-02-27,61.25,1399.040039,12216.24023
2007-02-28,63.490002,1406.819946,12268.62988
2007-03-01,63.68,1403.170044,12234.33984
2007-03-02,63.16,1387.170044,12114.09961
2007-03-05,62.790001,1374.119995,12050.41016
2007-03-06,62.939999,1395.410034,12207.58984
2007-03-07,62.080002,1391.969971,12192.4502
2007-03-08,62.310001,1401.890015,12260.7002
2007-03-09,62.16,1402.839966,12276.32031
2007-03-12,62.09,1406.599976,12318.62012
