Date,^DJI,^GSPC,^IXIC
1999-12-31,11497.120117,1469.25,4069.310059
2000-01-03,11357.509766,1455.219971,4131.149902
2000-01-04,10997.929688,1399.420044,3901.689941
2000-01-05,11122.650391,1402.109985,3877.540039
2000-01-06,11253.259766,1403.449951,3727.129883
2000-01-07,11522.55957,1441.469971,3882.620117
2000-01-10,11572.200195,1457.599976,4049.669922
2000-01-11,11511.080078,1438.560059,3921.189941
2000-01-12,11551.099609,1432.25,3850.02002
2000-01-13,11582.429688,1449.680054,3957.209961
2000-01-14,11722.980469,1465.150024,4064.27002
2000-01-18,11560.719727,1455.140015,4130.810059
2000-01-19,11489.360352,1455.900024,4151.290039
2000-01-20,11351.299805,1445.569946,4189.509766
2000-01-21,11251.709961,1441.359985,4235.399902
2000-01-24,11008.169922,1401.530029,4096.080078
2000-01-25,11029.889648,1410.030029,4167.410156
2000-01-26,11032.990234,1404.089966,4069.909912
2000-01-27,11028.019531,1398.560059,4039.560059
2000-01-28,10738.870117,1360.160034,3887.070068
2000-01-31,10940.530273,1394.459961,3940.350098
2000-02-01,11041.049805,1409.280029,4051.97998
2000-02-02,11003.200195,1409.119995,4073.959961
2000-02-03,11013.44043,1424.969971,4210.97998
2000-02-04,10963.799805,1424.369995,4244.140137
2000-02-07,10905.790039,1424.23999,4321.77002
2000-02-08,10957.599609,1441.719971,4427.5
2000-02-09,10699.160156,1411.709961,4363.240234
2000-02-10,10643.629883,1416.829956,4485.629883
2000-02-11,10425.209961,1387.119995,4395.450195
2000-02-14,10519.839844,1389.939941,4418.549805
2000-02-15,10718.089844,1402.050049,4420.77002
2000-02-16,10561.410156,1387.670044,4427.649902
2000-02-17,10514.570313,1388.26001,4548.919922
2000-02-18,10219.519531,1346.089966,4411.740234
2000-02-22,10304.839844,1352.170044,4382.120117
2000-02-23,10225.730469,1360.689941,4550.330078
2000-02-24,10092.629883,1353.430054,4617.649902
2000-02-25,9862.120117,1333.359985,4590.5
2000-02-28,10038.650391,1348.050049,4577.850098
2000-02-29,10128.30957,1366.420044,4696.689941
2000-03-01,10137.929688,1379.189941,4784.080078
2000-03-02,10164.919922,1381.76001,4754.509766
2000-03-03,10367.200195,1409.170044,4914.790039
2000-03-06,10170.5,1391.280029,4904.850098
2000-03-07,9796.030273,1355.619995,4847.839844
2000-03-08,9856.530273,1366.699951,4897.259766
2000-03-09,10010.730469,1401.689941,5046.859863
2000-03-10,9928.820313,1395.069946,5048.620117
2000-03-13,9947.129883,1383.619995,4907.240234
2000-03-14,9811.240234,1359.150024,4706.629883
2000-03-15,10131.410156,1392.140015,4582.620117
2000-03-16,10630.599609,1458.469971,4717.390137
2000-03-17,10595.230469,1464.469971,4798.129883
2000-03-20,10680.240234,1456.630005,4610.0
2000-03-21,10907.339844,1493.869995,4711.680176
2000-03-22,10866.700195,1500.640015,4864.75
2000-03-23,11119.860352,1527.349976,4940.609863
2000-03-24,11112.719727,1527.459961,4963.029785
2000-03-27,11025.849609,1523.859985,4958.560059
2000-03-28,10936.110352,1507.72998,4833.890137
2000-03-29,11018.719727,1508.52002,4644.669922
2000-03-30,10980.25,1487.920044,4457.890137
2000-03-31,10921.919922,1498.579956,4572.830078
2000-04-03,11221.929688,1505.969971,4223.680176
2000-04-04,11164.839844,1494.72998,4148.890137
2000-04-05,11033.919922,1487.369995,4169.220215
2000-04-06,11114.269531,1501.339966,4267.560059
2000-04-07,11111.480469,1516.349976,4446.450195
2000-04-10,11186.55957,1504.459961,4188.200195
2000-04-11,11287.080078,1500.589966,4055.899902
2000-04-12,11125.129883,1467.170044,3769.629883
2000-04-13,10923.549805,1440.51001,3676.780029
2000-04-14,10305.769531,1356.560059,3321.290039
2000-04-17,10582.509766,1401.439941,3539.159912
2000-04-18,10767.419922,1441.609985,3793.570068
2000-04-19,10674.959961,1427.469971,3706.409912
2000-04-20,10844.049805,1434.540039,3643.879883
2000-04-24,10906.099609,1429.859985,3482.47998
2000-04-25,11124.820313,1477.439941,3711.22998
2000-04-26,10945.5,1460.98999,3630.090088
2000-04-27,10888.099609,1464.920044,3774.030029
2000-04-28,10733.910156,1452.430054,3860.659912
2000-05-01,10811.780273,1468.25,3958.080078
2000-05-02,10731.120117,1446.290039,3785.449951
2000-05-03,10480.129883,1415.099976,3707.310059
2000-05-04,10412.490234,1409.569946,3720.23999
2000-05-05,10577.860352,1432.630005,3816.820068
2000-05-08,10603.629883,1424.170044,3669.379883
2000-05-09,10536.75,1412.140015,3585.01001
2000-05-10,10367.780273,1383.050049,3384.72998
2000-05-11,10545.969727,1407.810059,3499.580078
2000-05-12,10609.370117,1420.959961,3529.060059
2000-05-15,10807.780273,1452.359985,3607.649902
2000-05-16,10934.570313,1466.040039,3717.570068
2000-05-17,10769.740234,1447.800049,3644.959961
2000-05-18,10777.280273,1437.209961,3538.709961
2000-05-19,10626.849609,1406.949951,3390.399902
2000-05-22,10542.549805,1400.719971,3364.209961
2000-05-23,10422.269531,1373.859985,3164.550049
2000-05-24,10535.349609,1399.050049,3270.610107
2000-05-25,10323.919922,1381.52002,3205.350098
2000-05-26,10299.240234,1378.02002,3205.110107
2000-05-30,10527.129883,1422.449951,3459.47998
2000-05-31,10522.330078,1420.599976,3400.909912
2000-06-01,10652.200195,1448.810059,3582.5
2000-06-02,10794.759766,1477.26001,3813.379883
2000-06-05,10815.299805,1467.630005,3821.76001
2000-06-06,10735.570313,1457.839966,3756.370117
2000-06-07,10812.860352,1471.359985,3839.26001
2000-06-08,10668.719727,1461.670044,3825.560059
2000-06-09,10614.05957,1456.949951,3874.840088
2000-06-12,10564.209961,1446.0,3767.909912
2000-06-13,10621.839844,1469.439941,3851.060059
2000-06-14,10687.950195,1470.540039,3797.409912
2000-06-15,10714.820313,1478.72998,3845.73999
2000-06-16,10449.299805,1464.459961,3860.560059
2000-06-19,10557.839844,1486.0,3989.830078
2000-06-20,10435.160156,1475.949951,4013.360107
2000-06-21,10497.740234,1479.130005,4064.01001
2000-06-22,10376.120117,1452.180054,3936.840088
2000-06-23,10404.75,1441.47998,3845.340088
2000-06-26,10542.990234,1455.310059,3912.120117
2000-06-27,10504.459961,1450.550049,3858.959961
2000-06-28,10527.790039,1454.819946,3940.340088
2000-06-29,10398.040039,1442.390015,3877.22998
2000-06-30,10447.889648,1454.599976,3966.110107
2000-07-03,10560.669922,1469.540039,3991.929932
2000-07-05,10483.599609,1446.22998,3863.100098
2000-07-06,10481.469727,1456.670044,3960.570068
