Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,15.468750,15.625000,15.437500,62.375000,15.593750,3318400
1995-01-04,15.531250,15.656250,15.312500,61.875000,15.468750,2218800
1995-01-05,15.375000,15.437500,15.218750,61.000000,15.250000,2319600
1995-01-06,15.156250,15.406250,15.156250,61.125000,15.281250,3438000
1995-01-09,15.343750,15.406250,15.187500,60.875000,15.218750,1795200
1995-01-10,15.281250,15.437500,15.187500,61.625000,15.406250,4364000
1995-01-11,15.593750,15.593750,15.375000,61.500000,15.375000,3738400
1995-01-12,15.375000,15.531250,15.312500,62.125000,15.531250,3307600
1995-01-13,15.593750,15.843750,15.531250,62.500000,15.625000,3992800
1995-01-16,15.906250,15.968750,15.750000,63.000000,15.750000,3677200
1995-01-17,15.718750,15.812500,15.656250,63.250000,15.812500,2437600
1995-01-18,15.687500,15.750000,15.437500,61.875000,15.468750,3535200
1995-01-19,15.343750,15.406250,15.343750,61.625000,15.406250,2491200
1995-01-20,15.406250,15.406250,15.250000,61.375000,15.343750,5130800
1995-01-23,15.187500,15.500000,15.187500,62.000000,15.500000,3147200
1995-01-24,15.500000,15.531250,15.375000,61.875000,15.468750,2016400
1995-01-25,15.500000,15.781250,15.437500,62.750000,15.687500,2802400
1995-01-26,15.718750,15.843750,15.687500,63.000000,15.750000,3124000
1995-01-27,15.812500,16.250000,15.812500,64.750000,16.187500,6247200
1995-01-30,16.125000,16.562500,16.093750,65.750000,16.437500,5226400
1995-01-31,16.343750,16.500000,16.281250,65.125000,16.281250,3934800
1995-02-01,16.343750,16.343750,15.937500,63.875000,15.968750,3047200
1995-02-02,15.968750,16.125000,15.875000,64.375000,16.093750,3810400
1995-02-03,16.218750,16.375000,16.187500,65.000000,16.250000,4442800
1995-02-06,16.281250,16.625000,16.281250,66.500000,16.625000,4003600
1995-02-07,16.562500,16.593750,16.406250,66.375000,16.593750,2380400
1995-02-08,16.593750,16.593750,16.406250,65.625000,16.406250,2481200
1995-02-09,16.437500,16.468750,16.312500,65.500000,16.375000,2143600
