Date,PG,MSFT,F,GE
1995-01-03,8.960464,2.498429,5.091914,4.479902
1995-01-04,8.888638,2.516591,5.228918,4.479902
1995-01-05,8.762941,2.47508,5.18325,4.490882
1995-01-06,8.780898,2.516591,5.18325,4.468922
1995-01-09,8.744981,2.501024,5.274583,4.425002
1995-01-10,8.852727,2.532156,5.18325,4.45794
1995-01-11,8.834767,2.547723,5.18325,4.523821
1995-01-12,8.924553,2.542534,5.137584,4.51284
1995-01-13,9.029293,2.604801,5.228918,4.567741
1995-01-16,9.101528,2.661878,5.297417,4.622642
1995-01-17,9.137644,2.682633,5.251751,4.567741
1995-01-18,8.939,2.700794,5.160417,4.589701
1995-01-19,8.90288,2.635934,5.023414,4.479902
1995-01-20,8.86677,2.558101,4.817909,4.479902
1995-01-23,8.957059,2.607396,4.795077,4.414021
1995-01-24,8.939,2.574315,4.750797,4.425002
1995-01-25,9.065413,2.56329,4.819984,4.45794
1995-01-26,9.101528,2.485457,4.681611,4.479902
1995-01-27,9.354345,2.485457,4.681611,4.435981
1995-01-30,9.498816,2.449135,4.5663,4.490882
1995-01-31,9.408522,2.464703,4.65855,4.523821
1995-02-01,9.227939,2.454324,4.635487,4.490882
1995-02-02,9.300173,2.449135,4.727737,4.501862
1995-02-03,9.390463,2.495835,4.750797,4.578724
1995-02-06,9.607163,2.526967,4.727737,4.567741
1995-02-07,9.58911,2.532156,4.681611,4.567741
1995-02-08,9.480758,2.568479,4.704675,4.567741
1995-02-09,9.462701,2.568479,4.65855,4.589701
1995-02-10,9.444642,2.573667,4.77386,4.578724
1995-02-13,9.516876,2.573667,4.750797,4.622642
1995-02-14,9.426579,2.568479,4.819984,4.622642
1995-02-15,9.426579,2.521779,4.819984,4.710483
1995-02-16,9.444642,2.526967,4.837274,4.754405
1995-02-17,9.498816,2.506212,4.843046,4.710483
1995-02-21,9.571054,2.480269,4.843046,4.732445
1995-02-22,9.498816,2.552912,4.912232,4.842247
1995-02-23,9.607163,2.558101,4.912232,4.864207
1995-02-24,9.643288,2.542534,4.935295,4.809305
1995-02-27,9.58911,2.56329,4.796923,4.710483
1995-02-28,9.607163,2.615178,4.819984,4.809305
1995-03-01,9.480758,2.625556,4.727737,4.790276
1995-03-02,9.55299,2.646312,4.681611,4.701773
1995-03-03,9.55299,2.641123,4.727737,4.690708
1995-03-06,9.607163,2.669661,4.704675,4.668583
1995-03-07,9.444642,2.712466,4.704675,4.65752
1995-03-08,9.426579,2.843488,4.681611,4.712832
1995-03-09,9.534931,2.817544,4.750797,4.712832
1995-03-10,9.715516,2.846083,4.912232,4.845592
1995-03-13,9.715516,2.864243,4.958356,4.834527
1995-03-14,9.914162,2.978398,4.843046,4.867717
1995-03-15,9.950281,2.92651,4.819984,4.757086
1995-03-16,9.896106,2.910942,4.796923,4.856653
1995-03-17,10.022515,2.903159,4.750797,4.801339
1995-03-20,10.040572,2.952453,4.681611,4.790276
1995-03-21,10.022515,2.923915,4.681611,4.812401
1995-03-22,10.022515,2.94467,4.635487,4.834527
1995-03-23,9.968341,3.019908,4.635487,4.823464
1995-03-24,10.112808,3.066608,4.704675,4.867717
1995-03-27,9.968341,3.030287,4.796923,4.834527
1995-03-28,9.914162,3.05623,4.796923,4.856653
1995-03-29,9.751635,2.999153,4.912232,4.867717
1995-03-30,9.697457,2.993964,5.119793,4.845592
1995-03-31,9.571054,2.952453,4.958356,4.779212
1995-04-03,9.534931,2.905754,5.004482,4.834527
1995-04-04,9.769694,2.900564,4.912232,4.856653
1995-04-05,9.787752,2.931699,4.88917,4.856653
1995-04-06,9.914162,2.905754,5.004482,4.88984
1995-04-07,9.932224,2.890187,4.981421,4.856653
1995-04-10,9.932224,2.94467,4.958356,4.867717
1995-04-11,9.733582,2.993964,4.935295,4.845592
1995-04-12,9.805814,2.973208,5.096729,4.845592
1995-04-13,9.823873,3.009531,5.027544,4.867717
1995-04-17,9.675021,3.211897,4.981421,4.76815
1995-04-18,9.856544,3.185952,5.004482,4.779212
