Date,BP,F,XOM,LNC,AAPL
1999-12-31,26.942526,17.91116,25.595554,27.138775,3.291592
2000-01-03,26.71541,17.596191,24.880707,26.502689,3.583733
2000-01-04,26.573452,17.008251,24.404148,25.739405,3.281587
2000-01-05,27.481936,17.071245,25.734549,24.848928,3.32961
2000-01-06,27.538712,17.092241,27.064951,25.303717,3.041471
2000-01-07,27.027681,18.352114,26.985538,25.944838,3.18554
2000-01-10,26.232756,18.01615,26.608261,25.987597,3.129513
2000-01-11,26.232756,17.533195,26.687685,25.602913,2.969436
2000-01-12,25.693329,18.037148,26.52883,25.474686,2.79135
2000-01-13,26.062407,17.827169,27.144388,27.013432,3.097498
2000-01-14,25.125525,17.386215,26.608261,26.585987,3.215554
2000-01-18,25.324259,18.22613,26.925961,25.944838,3.327609
2000-01-19,25.437826,17.953161,27.184114,25.047251,3.41165
2000-01-20,24.841633,17.543682,26.588404,23.764963,3.633756
2000-01-21,25.551378,16.945261,27.005392,24.491592,3.563723
2000-01-24,25.437826,17.176241,26.767107,23.893204,3.401645
2000-01-25,24.926796,16.840275,26.707541,24.534344,3.593738
2000-01-26,24.898403,16.126345,26.52883,24.7908,3.527706
2000-01-27,24.586107,16.777277,25.734549,24.662565,3.521703
2000-01-28,24.500944,16.628807,25.059422,24.491592,3.253573
2000-01-31,24.415766,16.883327,26.330254,25.260969,3.321606
2000-02-01,24.756447,16.904535,26.429537,25.773878,3.209552
2000-02-02,24.500944,16.501541,26.628105,26.286793,3.163529
2000-02-03,23.706017,16.543962,26.171404,25.645645,3.307599
2000-02-04,22.371647,16.310654,25.694828,24.748056,3.457672
2000-02-07,22.030979,16.268229,25.655123,23.423031,3.651766
2000-02-08,21.86063,16.331865,25.079268,24.106918,3.677779
2000-02-09,20.838573,16.01371,24.361216,22.952858,3.605743
2000-02-10,21.86063,15.950073,24.241415,22.610918,3.633756
2000-02-11,21.179258,15.653136,23.602415,22.055254,3.481683
2000-02-14,21.548338,15.971291,24.421122,22.055254,3.707793
2000-02-15,21.519947,15.737974,25.339664,22.311716,3.809842
2000-02-16,22.371647,15.716763,25.559305,21.542345,3.653767
2000-02-17,22.201313,15.568294,24.88039,21.157669,3.677779
2000-02-18,21.292818,14.719887,23.961859,20.772978,3.561723
2000-02-22,20.611448,14.953198,24.101635,20.345554,3.643761
2000-02-23,20.592224,14.592624,23.842047,20.302813,3.7218
2000-02-24,19.963028,14.422943,23.262968,20.217321,3.688282
