Date,PG,^GSPC
2010-01-04,61.119999,1132.98999
2010-01-05,61.139999,1136.52002
2010-01-06,60.849998,1137.140015
2010-01-07,60.52,1141.689941
2010-01-08,60.439999,1144.97998
2010-01-11,60.200001,1146.97998
2010-01-12,60.889999,1136.219971
2010-01-13,61.52,1145.680054
2010-01-14,61.580002,1148.459961
2010-01-15,60.82,1136.030029
2010-01-19,61.720001,1150.22998
2010-01-20,60.450001,1138.040039
2010-01-21,59.84,1116.47998
2010-01-22,60.310001,1091.76001
2010-01-25,60.630001,1096.780029
2010-01-26,60.689999,1092.170044
2010-01-27,60.810001,1097.5
2010-01-28,61.68,1084.530029
2010-01-29,61.549999,1073.869995
2010-02-01,61.990002,1089.189941
2010-02-02,62.900002,1103.319946
2010-02-03,62.650002,1097.280029
2010-02-04,61.400002,1063.109985
2010-02-05,61.299999,1066.189941
2010-02-08,61.009998,1056.73999
2010-02-09,61.759998,1070.52002
2010-02-10,61.669998,1068.130005
2010-02-11,61.959999,1078.469971
2010-02-12,61.759998,1075.51001
2010-02-16,62.830002,1094.869995
2010-02-17,62.849998,1099.51001
2010-02-18,63.389999,1106.75
2010-02-19,63.450001,1109.170044
2010-02-22,63.419998,1108.01001
2010-02-23,63.209999,1094.599976
2010-02-24,63.889999,1105.23999
2010-02-25,63.700001,1102.939941
2010-02-26,63.279999,1104.48999
2010-03-01,63.509998,1115.709961
2010-03-02,63.709999,1118.310059
2010-03-03,63.549999,1118.790039
2010-03-04,63.669998,1122.969971
2010-03-05,63.689999,1138.699951
2010-03-08,63.189999,1138.5
2010-03-09,63.299999,1140.449951
2010-03-10,63.009998,1145.609985
2010-03-11,63.169998,1150.23999
2010-03-12,63.32,1149.98999
2010-03-15,63.700001,1150.51001
2010-03-16,63.529999,1159.459961
2010-03-17,64.010002,1166.209961
2010-03-18,63.73,1165.829956
2010-03-19,63.84,1159.900024
2010-03-22,63.880001,1165.810059
2010-03-23,64.529999,1174.170044
2010-03-24,63.610001,1167.719971
2010-03-25,63.619999,1165.72998
2010-03-26,63.689999,1166.589966
2010-03-29,63.73,1173.219971
2010-03-30,63.66,1173.27002
2010-03-31,63.27,1169.430054
2010-04-01,63.360001,1178.099976
2010-04-05,63.759998,1187.439941
2010-04-06,63.110001,1189.439941
2010-04-07,62.5,1182.449951
2010-04-08,62.560001,1186.439941
2010-04-09,62.73,1194.369995
2010-04-12,62.700001,1196.47998
2010-04-13,63.0,1197.300049
2010-04-14,63.189999,1210.650024
2010-04-15,63.0,1211.670044
2010-04-16,62.849998,1192.130005
2010-04-19,63.220001,1197.52002
2010-04-20,63.189999,1207.170044
2010-04-21,63.630001,1205.939941
2010-04-22,63.59,1208.670044
2010-04-23,63.540001,1217.280029
2010-04-26,63.939999,1212.050049
2010-04-27,63.110001,1183.709961
2010-04-28,63.169998,1191.359985
2010-04-29,62.200001,1206.780029
2010-04-30,62.16,1186.689941
2010-05-03,62.68,1202.26001
2010-05-04,61.709999,1173.599976
2010-05-05,62.16,1165.869995
2010-05-06,60.75,1128.150024
2010-05-07,60.310001,1110.880005
2010-05-10,62.419998,1159.72998
2010-05-11,62.369999,1155.790039
2010-05-12,63.02,1171.670044
2010-05-13,62.75,1157.439941
2010-05-14,62.540001,1135.680054
2010-05-17,63.380001,1136.939941
2010-05-18,63.209999,1120.800049
2010-05-19,63.220001,1115.050049
