Date,WMT,FB,BP
2013-12-31,70.753525,54.650002,37.75835
2014-01-02,70.951355,54.709999,37.268997
2014-01-03,70.717583,54.560001,37.18354
2014-01-06,70.321945,57.200001,37.284527
2014-01-07,70.537735,57.919998,37.711742
2014-01-08,69.98027,58.23,37.851563
2014-01-09,70.214035,57.220001,37.944771
2014-01-10,70.169098,57.939999,38.216652
2014-01-13,69.674553,55.91,37.401039
2014-01-14,70.097168,57.740002,37.548626
2014-01-15,69.827415,57.599998,37.362198
2014-01-16,69.018181,57.189999,37.214619
2014-01-17,68.505676,56.299999,37.43988
2014-01-21,68.190971,58.509998,37.696209
2014-01-22,67.750381,57.509998,38.092358
2014-01-23,67.399734,56.630001,37.773884
2014-01-24,66.914185,54.450001,37.090336
2014-01-27,66.671417,53.549999,36.701958
2014-01-28,67.138962,55.139999,36.880611
2014-01-29,66.626465,53.529999,36.717491
2014-01-30,67.210899,61.080002,36.826241
2014-01-31,67.147972,62.57,36.422325
2014-02-03,65.331711,61.48,35.816448
2014-02-04,65.394661,62.75,35.940731
2014-02-05,65.520523,62.189999,35.762074
2014-02-06,65.475563,62.16,36.756332
2014-02-07,66.311768,64.32,36.981583
2014-02-10,66.320755,63.549999,36.896149
2014-02-11,67.255875,64.849998,37.75835
2014-02-12,67.399734,64.449997,38.025581
2014-02-13,67.759377,67.330002,38.080601
2014-02-14,68.146019,67.089996,38.363548
2014-02-18,67.732414,67.300003,38.835144
2014-02-19,67.300827,68.059998,38.772263
2014-02-20,66.104973,69.629997,39.188828
2014-02-21,65.745316,68.589996,39.149525
2014-02-24,65.95211,70.779999,39.511078
2014-02-25,65.95211,69.849998,39.825474
2014-02-26,67.237892,69.260002,39.628979
2014-02-27,67.04007,68.940002,39.621113
2014-02-28,67.165947,68.459999,39.778313
2014-03-03,66.64444,67.410004,38.51289
2014-03-04,67.552589,68.800003,38.780117
2014-03-05,67.255875,71.57,38.371414
2014-03-06,67.327805,70.839996,38.347832
2014-03-07,67.490692,69.800003,38.06488
2014-03-10,67.354965,72.029999,38.072742
2014-03-11,67.79837,70.099998,37.899826
2014-03-12,68.350388,70.879997,37.891964
2014-03-13,67.807419,68.830002,37.404659
2014-03-14,67.219193,67.720001,37.483253
2014-03-17,67.581177,68.739998,37.459682
2014-03-18,67.662636,69.190002,37.381084
2014-03-19,67.309692,68.239998,37.192451
2014-03-20,68.214638,66.970001,36.563663
2014-03-21,68.866203,67.239998,36.555805
2014-03-24,69.463463,64.099998,36.705139
2014-03-25,69.563011,64.889999,36.948792
2014-03-26,68.983841,60.389999,36.917351
2014-03-27,68.902397,60.970001,37.388943
2014-03-28,68.784775,60.009998,38.017719
2014-03-31,69.164841,60.240002,37.805508
2014-04-01,69.472519,62.619999,38.072742
2014-04-02,69.843536,62.720001,38.072742
2014-04-03,70.096931,59.490002,37.97842
2014-04-04,69.961182,56.75,38.080601
2014-04-07,69.961182,56.950001,37.81337
2014-04-08,70.748497,58.189999,37.695469
2014-04-09,70.558449,62.41,38.339973
2014-04-10,69.581108,59.16,37.946983
2014-04-11,69.228188,58.529999,37.294621
2014-04-14,70.024544,58.889999,37.365356
2014-04-15,69.572044,59.09,37.546135
2014-04-16,69.879745,59.720001,38.03344
2014-04-17,70.277916,58.939999,38.418575
2014-04-21,70.22361,61.240002,38.536465
2014-04-22,70.187408,63.029999,38.544327
2014-04-23,70.621796,61.360001,38.363548
2014-04-24,70.866119,60.869999,38.81942
2014-04-25,71.14666,57.709999,39.078796
2014-04-28,72.178307,56.139999,38.544327
2014-04-29,72.096848,58.150002,39.526806
2014-04-30,72.133034,59.779999,39.786171
2014-05-01,72.124008,61.150002,39.613266
2014-05-02,71.599129,60.459999,39.98267
2014-05-05,71.14666,61.220001,39.935509
2014-05-06,70.594643,58.529999,40.179161
2014-05-07,70.986183,57.389999,40.56477
2014-05-08,71.650871,56.759998,40.373955
2014-05-09,72.115257,57.240002,40.199032
2014-05-12,72.069725,59.830002,40.310349
2014-05-13,72.060616,59.830002,40.159286
2014-05-14,71.696404,59.23,40.095676
2014-05-15,69.95726,57.919998,40.469368
2014-05-16,70.121162,58.02,40.787399
2014-05-19,69.756935,59.209999,40.835094
2014-05-20,68.91925,58.560001,40.477322
2014-05-21,68.89193,60.490002,40.922554
2014-05-22,68.64608,60.52,40.715832
